generation,num_people,num_immigrants,num_children
0,6,6,5
1,17,5,2
2,24,2,2
3,28,2,1
4,31,1,2
5,34,2,2
6,38,2,2
7,42,2,3
8,47,3,4
9,54,4,6
10,64,6,3
11,73,3,2
12,78,2,2
13,82,2,3
14,87,3,3
15,93,3,2
16,98,2,4
17,104,4,4
18,112,4,4
19,120,4,5
20,129,5,5
21,139,5,4
22,148,4,7
23,159,7,8
24,174,8,7
25,189,7,9
26,205,9,6
27,220,6,8
28,234,8,11
29,253,11,9
30,273,9,10
31,292,10,14
32,316,14,15
33,345,15,20
34,380,19,23
35,422,22,23
36,467,22,22
37,511,21,24
38,556,23,27
39,606,26,20
40,652,19,18
41,689,18,22
42,729,21,22
43,772,21,24
44,817,23,23
45,863,22,27
46,912,26,27
47,965,26,25
48,1016,24,26
49,1066,25,30
50,1121,29,30
51,1180,29,36
52,1245,35,30
53,1310,29,30
54,1369,29,32
55,1430,31,36
56,1497,35,42
57,1574,41,46
58,1661,45,57
59,1763,56,61
60,1880,59,59
61,1998,57,54
62,2109,53,56
63,2218,55,62
64,2335,60,64
65,2459,62,78
