generation,num_people (excluding initial setup),num_immigrants,num_children,num_marriages,prob_inf_marriage,prob_finite_marriage,prob_inf_marriage(eligible_only),prob_finite_marriage(eligible_only),num_connected_components
0,63,10,40,16,0.02205071664829107,0.04851157662624035,0.3508771929824561,0.7719298245614035,87
1,113,10,39,20,0.041841004184100423,0.06694560669456068,0.3883495145631068,0.6213592233009709,87
2,162,8,28,20,0.05645161290322581,0.08870967741935486,0.37333333333333335,0.5866666666666667,87
3,198,5,26,14,0.06451612903225806,0.10361681329423264,0.3492063492063492,0.5608465608465608,87
4,229,5,13,11,0.07300672430355427,0.1133525456292027,0.3438914027149321,0.5339366515837105,87
5,247,1,10,3,0.0741444866920152,0.11596958174904942,0.3236514522821577,0.5062240663900415,87
6,258,1,16,3,0.07483629560336763,0.11786716557530401,0.31496062992125984,0.4960629921259842,87
7,275,3,23,6,0.07853881278538813,0.12054794520547944,0.31851851851851853,0.4888888888888889,87
8,301,6,23,12,0.08718861209964412,0.12811387900355872,0.33220338983050846,0.48813559322033895,87
9,330,5,32,11,0.0930232558139535,0.13436692506459946,0.3343653250773994,0.48297213622291013,87
10,367,7,28,16,0.1020066889632107,0.1454849498327759,0.34078212290502796,0.4860335195530726,87
11,402,5,25,13,0.10766721044045677,0.15497553017944535,0.33587786259541985,0.48346055979643765,87
12,432,4,17,10,0.11226944667201283,0.16198877305533282,0.3309692671394799,0.4775413711583924,87
13,453,2,14,5,0.1140142517814727,0.16468725257323832,0.32286995515695066,0.4663677130044842,87
14,469,2,20,5,0.1151750972762646,0.16653696498054474,0.3189655172413793,0.4612068965517241,87
15,491,5,14,9,0.12116564417177914,0.17024539877300612,0.32510288065843623,0.45679012345679015,87
16,510,2,15,5,0.12263436790310372,0.17259651778955334,0.3207920792079208,0.45148514851485144,87
17,527,3,9,6,0.12603150787696923,0.17554388597149287,0.32183908045977005,0.4482758620689655,87
18,539,1,13,3,0.12620638455827765,0.1766889383815887,0.31775700934579443,0.4448598130841121,87
19,553,3,12,6,0.12922173274596183,0.1791483113069016,0.3205828779599271,0.44444444444444436,87
20,568,2,10,5,0.1310043668122271,0.1819505094614265,0.3191489361702128,0.4432624113475177,87
21,580,2,9,4,0.1328519855595668,0.18339350180505415,0.3188908145580589,0.440207972270364,87
22,591,1,2,3,0.1340057636887608,0.18587896253602307,0.31686541737649065,0.43952299829642255,87
23,594,0,0,0,0.1340057636887608,0.18587896253602307,0.3136593591905565,0.43507588532883645,87
